Franchise,Latitude,Longitude
Chicago,41.53 N,87.38 W
Green Bay,44.30 N,88.01 W
Arizona,33.27 N,112.05 W
Baltimore,39.17 N,76.37 W
Buffalo,42.54 N,78.53 W
Carolina,35.14 N,80.50 W
Cincinnati,39.06 N,84.31 W
Cleveland,41.30 N,81.41 W
Denver,39.43 N,105.01 W
Indianapolis,39.46 N,86.09 W
Jacksonville,30.20 N,81.40 W
Kansas City,39.06 N,94.37 W
Miami,25.46 N,80.12 W
New England,42.21 N,71.04 W
New York,40.43 N,74.01 W
Oakland,37.47 N,122.13 W
Philadelphia,39.57 N,75.07 W
Pittsburgh,40.26 N,80.00 W
St. Louis,38.38 N,90.11 W
San Diego,32.43 N,118.09 W
San Francisco,37.48 N,122.24 W
Seattle,47.36 N,122.20 W
Tampa,27.57 N,82.27 W
Tennessee,36.09 N,86.48 W
Washington,38.54 N,77.01 W
